id,query,intent_json,input_prompt,target_json
4479,malayalam suspenseful movie,"{""language"": ""Malayalam"", ""mood"": ""suspenseful""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: malayalam suspenseful movie
JSON:","{""language"": ""Malayalam"", ""mood"": ""suspenseful""}"
197,tiger shroff new movie kota factory,"{""actor"": ""Tiger Shroff"", ""recency"": ""latest"", ""title"": ""Kota Factory""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: tiger shroff new movie kota factory
JSON:","{""actor"": ""Tiger Shroff"", ""recency"": ""latest"", ""title"": ""Kota Factory""}"
4668,Netflix supernatural movies,"{""genre"": ""Supernatural"", ""platform"": ""Netflix""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: Netflix supernatural movies
JSON:","{""genre"": ""Supernatural"", ""platform"": ""Netflix""}"
1544,tearjerker gujarati film,"{""language"": ""Gujarati"", ""mood"": ""tearjerker""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: tearjerker gujarati film
JSON:","{""language"": ""Gujarati"", ""mood"": ""tearjerker""}"
1331,what are good sports films on Netflix,"{""genre"": ""Sports"", ""platform"": ""Netflix"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good sports films on Netflix
JSON:","{""genre"": ""Sports"", ""platform"": ""Netflix"", ""rating_type"": ""top rated""}"
880,top kollywood dark comedy movies,"{""genre"": ""Dark comedy"", ""language"": ""Tamil"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top kollywood dark comedy movies
JSON:","{""genre"": ""Dark comedy"", ""language"": ""Tamil"", ""rating_type"": ""top rated""}"
4503,dabangg wala ki best romance film,"{""actor"": ""Salman Khan"", ""genre"": ""Romance"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dabangg wala ki best romance film
JSON:","{""actor"": ""Salman Khan"", ""genre"": ""Romance"", ""rating_type"": ""top rated""}"
3502,badshah superhit movies,"{""actor"": ""Shah Rukh Khan"", ""rating_type"": ""hit""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: badshah superhit movies
JSON:","{""actor"": ""Shah Rukh Khan"", ""rating_type"": ""hit""}"
3895,vishal bhardwaj ki film,"{""director"": ""Vishal Bhardwaj""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vishal bhardwaj ki film
JSON:","{""director"": ""Vishal Bhardwaj""}"
4991,sultan imdb rating,"{""query_type"": ""rating/review"", ""title"": ""Sultan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: sultan imdb rating
JSON:","{""query_type"": ""rating/review"", ""title"": ""Sultan""}"
888,kabir singh ka rating kya hai,"{""query_type"": ""rating/review"", ""title"": ""Kabir Singh""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kabir singh ka rating kya hai
JSON:","{""query_type"": ""rating/review"", ""title"": ""Kabir Singh""}"
1346,best of bhansali,"{""director"": ""Sanjay Leela Bhansali"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best of bhansali
JSON:","{""director"": ""Sanjay Leela Bhansali"", ""rating_type"": ""top rated""}"
69,scary movie,"{""mood"": ""scary""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: scary movie
JSON:","{""mood"": ""scary""}"
4211,bahubali kahan dekhein,"{""query_type"": ""availability"", ""title"": ""Bahubali""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: bahubali kahan dekhein
JSON:","{""query_type"": ""availability"", ""title"": ""Bahubali""}"
1816,gujarati romance,"{""genre"": ""Romance"", ""language"": ""Gujarati""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gujarati romance
JSON:","{""genre"": ""Romance"", ""language"": ""Gujarati""}"
569,family movies of dabangg wala,"{""actor"": ""Salman Khan"", ""genre"": ""Family""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: family movies of dabangg wala
JSON:","{""actor"": ""Salman Khan"", ""genre"": ""Family""}"
2168,top rated Bengali comedy,"{""genre"": ""Comedy"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Bengali comedy
JSON:","{""genre"": ""Comedy"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}"
97,movies with aamir khan,"{""actor"": ""Aamir Khan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies with aamir khan
JSON:","{""actor"": ""Aamir Khan""}"
4182,aamir leo movie,"{""actor"": ""Aamir Khan"", ""title"": ""Leo""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aamir leo movie
JSON:","{""actor"": ""Aamir Khan"", ""title"": ""Leo""}"
3354,rajini ke saare movies,"{""actor"": ""Rajinikanth""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: rajini ke saare movies
JSON:","{""actor"": ""Rajinikanth""}"
140,best mammukka movies,"{""actor"": ""mammootty"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best mammukka movies
JSON:","{""actor"": ""mammootty"", ""rating_type"": ""top rated""}"
4955,vicky kaushal ki best mystery film,"{""actor"": ""Vicky Kaushal"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vicky kaushal ki best mystery film
JSON:","{""actor"": ""Vicky Kaushal"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
2603,is thunivu available on ZEE5,"{""platform"": ""ZEE5"", ""query_type"": ""availability"", ""title"": ""Thunivu""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is thunivu available on ZEE5
JSON:","{""platform"": ""ZEE5"", ""query_type"": ""availability"", ""title"": ""Thunivu""}"
4024,crime movies of aamir khan,"{""actor"": ""Aamir Khan"", ""genre"": ""Crime""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: crime movies of aamir khan
JSON:","{""actor"": ""Aamir Khan"", ""genre"": ""Crime""}"
4773,kangana malayalam biopic,"{""actor"": ""Kangana Ranaut"", ""genre"": ""Biopic"", ""language"": ""Malayalam""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kangana malayalam biopic
JSON:","{""actor"": ""Kangana Ranaut"", ""genre"": ""Biopic"", ""language"": ""Malayalam""}"
1607,horror movies 2024,"{""genre"": ""Horror"", ""year"": 2024}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: horror movies 2024
JSON:","{""genre"": ""Horror"", ""year"": 2024}"
1630,best family movies of 2020,"{""genre"": ""Family"", ""rating_type"": ""top rated"", ""year"": 2020}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best family movies of 2020
JSON:","{""genre"": ""Family"", ""rating_type"": ""top rated"", ""year"": 2020}"
1540,koi intense movie suggest karo,"{""mood"": ""intense""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: koi intense movie suggest karo
JSON:","{""mood"": ""intense""}"
1695,if you liked freddy,"{""similar_to"": ""Freddy""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: if you liked freddy
JSON:","{""similar_to"": ""Freddy""}"
2060,top rated Gujarati romance,"{""genre"": ""Romance"", ""language"": ""Gujarati"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Gujarati romance
JSON:","{""genre"": ""Romance"", ""language"": ""Gujarati"", ""rating_type"": ""top rated""}"
464,show me Malayalam movies from 2023,"{""language"": ""Malayalam"", ""year"": 2023}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: show me Malayalam movies from 2023
JSON:","{""language"": ""Malayalam"", ""year"": 2023}"
2331,best telugu lo series,"{""content_type"": ""Web Series"", ""language"": ""Telugu"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best telugu lo series
JSON:","{""content_type"": ""Web Series"", ""language"": ""Telugu"", ""rating_type"": ""top rated""}"
3044,top kannada mystery movies,"{""genre"": ""Mystery"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top kannada mystery movies
JSON:","{""genre"": ""Mystery"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}"
4735,hi nanna full movie,"{""title"": ""Hi Nanna""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: hi nanna full movie
JSON:","{""title"": ""Hi Nanna""}"
595,ayushmann all movies list,"{""actor"": ""Ayushmann Khurrana""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ayushmann all movies list
JSON:","{""actor"": ""Ayushmann Khurrana""}"
3815,best bengali historical,"{""genre"": ""Historical"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best bengali historical
JSON:","{""genre"": ""Historical"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}"
626,2024 movies,"{""year"": 2024}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: 2024 movies
JSON:","{""year"": 2024}"
451,punjabi 2018,"{""language"": ""Punjabi"", ""year"": 2018}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: punjabi 2018
JSON:","{""language"": ""Punjabi"", ""year"": 2018}"
1500,top kannada psychological thriller movies,"{""genre"": ""Psychological thriller"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top kannada psychological thriller movies
JSON:","{""genre"": ""Psychological thriller"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}"
2457,best biopic movies of 2022,"{""genre"": ""Biopic"", ""rating_type"": ""top rated"", ""year"": 2022}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best biopic movies of 2022
JSON:","{""genre"": ""Biopic"", ""rating_type"": ""top rated"", ""year"": 2022}"
4723,punjabi movies on SonyLIV,"{""language"": ""Punjabi"", ""platform"": ""SonyLIV""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: punjabi movies on SonyLIV
JSON:","{""language"": ""Punjabi"", ""platform"": ""SonyLIV""}"
2985,top rated Kannada historical,"{""genre"": ""Historical"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Kannada historical
JSON:","{""genre"": ""Historical"", ""language"": ""Kannada"", ""rating_type"": ""top rated""}"
1570,what are good biopic films on ZEE5,"{""genre"": ""Biopic"", ""platform"": ""ZEE5"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good biopic films on ZEE5
JSON:","{""genre"": ""Biopic"", ""platform"": ""ZEE5"", ""rating_type"": ""top rated""}"
1035,aadujeevitham kahan dekhein,"{""query_type"": ""availability"", ""title"": ""Aadujeevitham""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aadujeevitham kahan dekhein
JSON:","{""query_type"": ""availability"", ""title"": ""Aadujeevitham""}"
3519,irfan khan ka 2022 wala,"{""actor"": ""Irrfan Khan"", ""year"": 2022}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: irfan khan ka 2022 wala
JSON:","{""actor"": ""Irrfan Khan"", ""year"": 2022}"
1558,movies like dangal,"{""similar_to"": ""Dangal""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies like dangal
JSON:","{""similar_to"": ""Dangal""}"
3625,malayalam sci-fi movies,"{""genre"": ""Sci-Fi"", ""language"": ""Malayalam""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: malayalam sci-fi movies
JSON:","{""genre"": ""Sci-Fi"", ""language"": ""Malayalam""}"
4665,watch pushpa,"{""title"": ""Pushpa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: watch pushpa
JSON:","{""title"": ""Pushpa""}"
151,an action hero OTT release,"{""query_type"": ""availability"", ""title"": ""An Action Hero""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: an action hero OTT release
JSON:","{""query_type"": ""availability"", ""title"": ""An Action Hero""}"
1421,raees kahan dekhein,"{""query_type"": ""availability"", ""title"": ""Raees""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: raees kahan dekhein
JSON:","{""query_type"": ""availability"", ""title"": ""Raees""}"
2012,psychological thriller movies of katrina,"{""actor"": ""Katrina Kaif"", ""genre"": ""Psychological thriller""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: psychological thriller movies of katrina
JSON:","{""actor"": ""Katrina Kaif"", ""genre"": ""Psychological thriller""}"
2687,movies by bhansali,"{""director"": ""Sanjay Leela Bhansali""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies by bhansali
JSON:","{""director"": ""Sanjay Leela Bhansali""}"
1787,feeling happy movie,"{""mood"": ""happy""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: feeling happy movie
JSON:","{""mood"": ""happy""}"
89,recommend a family movie,"{""genre"": ""Family""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: recommend a family movie
JSON:","{""genre"": ""Family""}"
458,alia war movie,"{""actor"": ""Alia Bhatt"", ""title"": ""War""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: alia war movie
JSON:","{""actor"": ""Alia Bhatt"", ""title"": ""War""}"
1306,panchayat with kangana,"{""actor"": ""Kangana Ranaut"", ""title"": ""Panchayat""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: panchayat with kangana
JSON:","{""actor"": ""Kangana Ranaut"", ""title"": ""Panchayat""}"
2926,aspirants imdb rating,"{""query_type"": ""rating/review"", ""title"": ""Aspirants""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aspirants imdb rating
JSON:","{""query_type"": ""rating/review"", ""title"": ""Aspirants""}"
3271,family historical movies 2022,"{""audience"": ""family"", ""genre"": ""Historical"", ""year"": 2022}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: family historical movies 2022
JSON:","{""audience"": ""family"", ""genre"": ""Historical"", ""year"": 2022}"
3228,rrr OTT release,"{""query_type"": ""availability"", ""title"": ""RRR""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: rrr OTT release
JSON:","{""query_type"": ""availability"", ""title"": ""RRR""}"
1989,new bollywood biopic,"{""genre"": ""Biopic"", ""language"": ""Hindi"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: new bollywood biopic
JSON:","{""genre"": ""Biopic"", ""language"": ""Hindi"", ""recency"": ""latest""}"
3755,vicky kaushal ki films,"{""actor"": ""Vicky Kaushal""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vicky kaushal ki films
JSON:","{""actor"": ""Vicky Kaushal""}"
3647,vetrimaaran 2020 movie,"{""director"": ""Vetrimaaran"", ""year"": 2020}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vetrimaaran 2020 movie
JSON:","{""director"": ""Vetrimaaran"", ""year"": 2020}"
832,how is mirzapur,"{""query_type"": ""rating/review"", ""title"": ""Mirzapur""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: how is mirzapur
JSON:","{""query_type"": ""rating/review"", ""title"": ""Mirzapur""}"
240,new gujarati mystery,"{""genre"": ""Mystery"", ""language"": ""Gujarati"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: new gujarati mystery
JSON:","{""genre"": ""Mystery"", ""language"": ""Gujarati"", ""recency"": ""latest""}"
4682,what are good sports films on Disney+ Hotstar,"{""genre"": ""Sports"", ""platform"": ""Disney+ Hotstar"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good sports films on Disney+ Hotstar
JSON:","{""genre"": ""Sports"", ""platform"": ""Disney+ Hotstar"", ""rating_type"": ""top rated""}"
3023,mujhe feel good movie chahiye,"{""mood"": ""feel good"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: mujhe feel good movie chahiye
JSON:","{""mood"": ""feel good"", ""rating_type"": ""top rated""}"
3149,kesari jesi film suggest karo,"{""similar_to"": ""Kesari""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kesari jesi film suggest karo
JSON:","{""similar_to"": ""Kesari""}"
1947,is leo available on Jio Cinema,"{""platform"": ""Jio Cinema"", ""query_type"": ""availability"", ""title"": ""Leo""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is leo available on Jio Cinema
JSON:","{""platform"": ""Jio Cinema"", ""query_type"": ""availability"", ""title"": ""Leo""}"
2776,sports binge worthy,"{""content_type"": ""Web Series"", ""genre"": ""Sports"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: sports binge worthy
JSON:","{""content_type"": ""Web Series"", ""genre"": ""Sports"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}"
193,pushpa type movie,"{""similar_to"": ""Pushpa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: pushpa type movie
JSON:","{""similar_to"": ""Pushpa""}"
4850,sultan ka rating kya hai,"{""query_type"": ""rating/review"", ""title"": ""Sultan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: sultan ka rating kya hai
JSON:","{""query_type"": ""rating/review"", ""title"": ""Sultan""}"
4940,stylish star ki films,"{""actor"": ""Allu Arjun""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: stylish star ki films
JSON:","{""actor"": ""Allu Arjun""}"
945,top 2020 films,"{""rating_type"": ""top rated"", ""year"": 2020}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top 2020 films
JSON:","{""rating_type"": ""top rated"", ""year"": 2020}"
1269,ranveer 2025 movie,"{""actor"": ""Ranveer Singh"", ""year"": 2025}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ranveer 2025 movie
JSON:","{""actor"": ""Ranveer Singh"", ""year"": 2025}"
4232,is dobaaraa available on ZEE5,"{""platform"": ""ZEE5"", ""query_type"": ""availability"", ""title"": ""Dobaaraa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is dobaaraa available on ZEE5
JSON:","{""platform"": ""ZEE5"", ""query_type"": ""availability"", ""title"": ""Dobaaraa""}"
2308,katrina ke saare movies,"{""actor"": ""Katrina Kaif""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: katrina ke saare movies
JSON:","{""actor"": ""Katrina Kaif""}"
4425,kannada dark comedy,"{""genre"": ""Dark comedy"", ""language"": ""Kannada""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kannada dark comedy
JSON:","{""genre"": ""Dark comedy"", ""language"": ""Kannada""}"
4712,aadujeevitham jaisi movie,"{""similar_to"": ""Aadujeevitham""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aadujeevitham jaisi movie
JSON:","{""similar_to"": ""Aadujeevitham""}"
2314,sardar udham full movie,"{""title"": ""Sardar Udham""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: sardar udham full movie
JSON:","{""title"": ""Sardar Udham""}"
3215,fahadh wali ludo,"{""actor"": ""Fahadh Faasil"", ""title"": ""Ludo""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: fahadh wali ludo
JSON:","{""actor"": ""Fahadh Faasil"", ""title"": ""Ludo""}"
2733,ayushmann ki best movie,"{""actor"": ""Ayushmann Khurrana"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ayushmann ki best movie
JSON:","{""actor"": ""Ayushmann Khurrana"", ""rating_type"": ""top rated""}"
1927,top punjabi biopic movies,"{""genre"": ""Biopic"", ""language"": ""Punjabi"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top punjabi biopic movies
JSON:","{""genre"": ""Biopic"", ""language"": ""Punjabi"", ""rating_type"": ""top rated""}"
4228,if you liked varisu,"{""similar_to"": ""Varisu""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: if you liked varisu
JSON:","{""similar_to"": ""Varisu""}"
4677,is fukrey 3 worth watching,"{""query_type"": ""rating/review"", ""title"": ""Fukrey 3""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is fukrey 3 worth watching
JSON:","{""query_type"": ""rating/review"", ""title"": ""Fukrey 3""}"
801,what are good comedy films on Jio Cinema,"{""genre"": ""Comedy"", ""platform"": ""Jio Cinema"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good comedy films on Jio Cinema
JSON:","{""genre"": ""Comedy"", ""platform"": ""Jio Cinema"", ""rating_type"": ""top rated""}"
3672,tamil movies on ZEE5,"{""language"": ""Tamil"", ""platform"": ""ZEE5""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: tamil movies on ZEE5
JSON:","{""language"": ""Tamil"", ""platform"": ""ZEE5""}"
4194,mammootty punjabi mystery,"{""actor"": ""Mammootty"", ""genre"": ""Mystery"", ""language"": ""Punjabi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: mammootty punjabi mystery
JSON:","{""actor"": ""Mammootty"", ""genre"": ""Mystery"", ""language"": ""Punjabi""}"
2969,best of ulaganayagan,"{""actor"": ""Kamal Haasan"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best of ulaganayagan
JSON:","{""actor"": ""Kamal Haasan"", ""rating_type"": ""top rated""}"
4794,dulquer bangla family,"{""actor"": ""Dulquer Salmaan"", ""genre"": ""Family"", ""language"": ""Bengali""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dulquer bangla family
JSON:","{""actor"": ""Dulquer Salmaan"", ""genre"": ""Family"", ""language"": ""Bengali""}"
4369,dream girl 2 OTT release,"{""query_type"": ""availability"", ""title"": ""Dream Girl 2""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dream girl 2 OTT release
JSON:","{""query_type"": ""availability"", ""title"": ""Dream Girl 2""}"
2777,is ponniyin selvan available on Disney+ Hotstar,"{""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability"", ""title"": ""Ponniyin Selvan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is ponniyin selvan available on Disney+ Hotstar
JSON:","{""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability"", ""title"": ""Ponniyin Selvan""}"
2971,ranveer singh ki best family film,"{""actor"": ""Ranveer Singh"", ""genre"": ""Family"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ranveer singh ki best family film
JSON:","{""actor"": ""Ranveer Singh"", ""genre"": ""Family"", ""rating_type"": ""top rated""}"
3868,ayushmann movies,"{""actor"": ""Ayushmann Khurrana""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ayushmann movies
JSON:","{""actor"": ""Ayushmann Khurrana""}"
1744,feel good films recommend karo,"{""mood"": ""feel good"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: feel good films recommend karo
JSON:","{""mood"": ""feel good"", ""rating_type"": ""top rated""}"
3949,jalsa type movie,"{""similar_to"": ""Jalsa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: jalsa type movie
JSON:","{""similar_to"": ""Jalsa""}"
3803,kgf,"{""title"": ""KGF""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kgf
JSON:","{""title"": ""KGF""}"
2025,vicky wali rrr,"{""actor"": ""Vicky Kaushal"", ""title"": ""RRR""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vicky wali rrr
JSON:","{""actor"": ""Vicky Kaushal"", ""title"": ""RRR""}"
2275,best of duggu,"{""actor"": ""Hrithik Roshan"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best of duggu
JSON:","{""actor"": ""Hrithik Roshan"", ""rating_type"": ""top rated""}"
100,family historical movies 2021,"{""audience"": ""family"", ""genre"": ""Historical"", ""year"": 2021}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: family historical movies 2021
JSON:","{""audience"": ""family"", ""genre"": ""Historical"", ""year"": 2021}"
4922,allu arjun ke saare movies,"{""actor"": ""Allu Arjun""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: allu arjun ke saare movies
JSON:","{""actor"": ""Allu Arjun""}"
3408,sardar udham,"{""title"": ""Sardar Udham""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: sardar udham
JSON:","{""title"": ""Sardar Udham""}"
4246,taapsee film sultan,"{""actor"": ""Taapsee Pannu"", ""title"": ""Sultan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: taapsee film sultan
JSON:","{""actor"": ""Taapsee Pannu"", ""title"": ""Sultan""}"
